# file...... sw_status_l2_EV2.csv
# date...... Wed Dec  3 16:00:18 2025
# user...... (null)
# host...... (null)
# target.... switch 812
# trigger... (none)
# interval.. 1200
# limit..... 0
# timestamp,status
2013-08-28 00:00:00 PST,CLOSED
2013-08-28 00:20:00 PST,CLOSED
2013-08-28 00:40:00 PST,CLOSED
2013-08-28 01:00:00 PST,CLOSED
2013-08-28 01:20:00 PST,CLOSED
2013-08-28 01:40:00 PST,CLOSED
2013-08-28 02:00:00 PST,CLOSED
2013-08-28 02:20:00 PST,CLOSED
2013-08-28 02:40:00 PST,CLOSED
2013-08-28 03:00:00 PST,CLOSED
2013-08-28 03:20:00 PST,CLOSED
2013-08-28 03:40:00 PST,CLOSED
2013-08-28 04:00:00 PST,CLOSED
